Text,label
I'm so cross I got a poor grade on the quiz,3
I'm so upset I couldn't do better on the exam,3
I'm so mad I didn't get the marks I was hoping for,3
I'm so furious I couldn't ace the test,3
I'm so irate I got a lower grade than I wanted,3
I'm so annoyed I couldn't get the highest marks,3
I'm so indignant about my exam results,3
I'm so aggravated I couldn't get a good grade,3
I'm so perturbed I didn't do well on the paper,3
I'm so cross I didn't get the grade I wanted,3
I'm so upset I got a bad score on the quiz,3
I'm so mad I failed the test.,3
I'm so furious I couldn't get the grade I was expecting,3
I'm so irate I didn't do well on the paper,3
I'm so annoyed I didn't get the marks I was aiming for,3
I'm so indignant about my grade on the exam,3
I'm so aggravated I couldn't get the grade I was hoping for,3
I'm so perturbed I got a lower score than anticipated,3
I'm so cross I couldn't pass the quiz,3
I'm so enraged I couldn't do better on the test,3
I'm so enraged I didn't do better on the test,3
I'm so upset I didn't get the marks I was expecting,3
I'm so boiling mad I got a lower grade than I wanted,3
I'm so resentful I couldn't get the grade I was aiming for,3
I'm so mad I couldn't pass the quiz,3
I'm so angry I got a bad grade on the paper,3
I'm so livid I couldn't get a good mark,3
I'm so frustrated I couldn't get the grade I was hoping for,3
I'm so irritated I got a lower score than I was expecting,3
I'm so incensed I didn't do well on the exam,3
I'm so vexed I couldn't get the highest marks,3
I'm so infuriated I got a lower grade than anticipated,3
I'm so displeased I didn't get the grade I wanted,3
I'm so mad I couldn't get a good score,3
I'm so furious my grade was lower than expected,3
I'm so irate I didn't do well on the test,3
I'm so annoyed I didn't get the results I wanted,3
I'm so indignant about my grade on the paper,3
I'm so aggravated I didn't get the marks I was aiming for,3
I'm so perturbed I got a lower score than I was expecting,3
I'm so mad I didn't pass the test,3
I'm so angry I failed my midterms,3
I'm so livid I got a poor grade on my assignment,3
I'm so frustrated with my exam results,3
I'm so irritated I didn't get a good grade,3
I'm so incensed I couldn't ace the quiz,3
I'm so vexed I didn't do well on the test,3
I'm so infuriated my grade was lower than expected,3
I'm so displeased I got a bad grade,3
I'm so mad I failed the exam,3
I'm so furious I couldn't get the highest score,3
I'm so irate I couldn't do better,3
I'm so annoyed I didn't get the marks I wanted,3
I'm so indignant about my exam results,3
I'm so aggravated I couldn't do well on the paper,3
I'm so perturbed I didn't get the grade I wanted,3
I'm so cross my grade wasn't good,3
I'm so upset I didn't do well on the exam,3
I'm so mad I didn't get the grade I was hoping for,3
I'm so furious I got a lower score than expected,3
I'm so enraged I got a lower grade than I was expecting,3
I'm so incensed that I didn't get the question right,3
I'm so irritated I couldn't finish the exam in time,3
I'm so infuriated I didn't get the score I wanted,3
I'm so vexed I got an unexpected question on the exam,3
I'm so indignant I didn't pass the exam,3
I'm so cross about the difficult questions on the exam,3
I'm so annoyed I didn't get enough time to prepare,3
I'm so irked I got a lower grade than I wanted,3
I'm so exasperated I didn't pass the exam,3
I'm so provoked by the hard questions on the exam,3
I'm so wrathful I didn't get a good grade,3
I'm so enraged I didn't get an extra credit question,3
I'm so mad I didn't get the grade I wanted.,3
I'm so furious I failed my midterms.,3
I'm so livid I got a poor grade on my assignment.,3
I'm so frustrated with my exam results.,3
I'm so irritated I didn't get a good grade.,3
I'm so incensed I couldn't ace the quiz.,3
I'm so vexed I didn't do well on the test.,3
I'm so infuriated my grade was lower than expected.,3
I'm so displeased I got a bad grade.,3
I'm so mad I failed the exam.,3
I'm so furious I couldn't get the highest score.,3
I'm so irate I couldn't do better.,3
I'm so annoyed I didn't get the marks I wanted.,3
I'm so indignant about my exam results.,3
I'm so aggravated I couldn't do well on the paper.,3
I'm so perturbed I didn't get the grade I wanted.,3
I'm so cross my grade wasn't good.,3
I'm so upset I didn't do well on the exam.,3
I'm so mad I didn't get the grade I was hoping for.,3
I'm so furious I got a lower score than expected.,3
amazed to get a perfect score,0
I couldn't believe I aced the test,0
The results of the exam really took me by surprise,0
I was stunned to see my grade on the exam,0
My jaw dropped when I saw my score on the exam,0
I was astonished to find I passed the exam,0
I couldn't believe I was so successful on the test,0
My eyes widened with shock when I saw my grade,0
I was overjoyed to find out I passed the exam,0
My heart leapt with joy when I saw my score,0
I was astonished to see I had done so well,0
I was taken aback to find I had passed the test,0
The results of the exam left me speechless,0
My eyes widened with amazement when I saw my grade,0
I was over the moon to find out I passed the exam,0
I couldn't believe how well I did on the test,0
The outcome of the exam was much better than I expected,0
My heart raced with excitement when I saw my score,0
I was taken aback to realize I had passed the exam,0
I was surprised to see my marks on the exam,0
I was dumbstruck to find I had aced the test,0
I couldn't believe I had done so well on the exam,0
I was amazed to get a perfect score on the test,0
My mouth dropped open when I saw my grade,0
I was elated to find out I had passed the exam,0
I was astonished to find I had done so well,0
My eyes widened with astonishment when I saw my score,0
I was overjoyed to see I had done so well,0
I was taken aback to see I had passed the test,0
The results of the exam left me in disbelief,0
My heart skipped a beat when I saw my grade,0
I was shocked to discover I had passed the exam,0
I couldn't believe how successful I was on the test,0
The outcome of the exam was much better than I anticipated,0
My heart raced with joy when I saw my score,0
I was taken aback to find out I had aced the exam,0
I was amazed to see my marks on the test,0
I was stunned to find I had done so well,0
I couldn't believe I had such a high score on the exam,0
I was over the moon to get a perfect score,0
My jaw dropped open when I saw my grade,0
I was elated to realize I had passed the test,0
I was astonished to find out I had done so well,0
My eyes widened with joy when I saw my score,0
I was taken aback to see I had done so well,0
The results of the exam left me in awe,0
My heart leapt with excitement when I saw my grade,0
I was shocked to discover I had aced the exam,0
I couldn't believe I had achieved such a high score on the test,0
The outcome of the exam was much higher than I expected,0
My heart raced with amazement when I saw my score,0
I was taken aback to find out I had passed the test,0
I was surprised to see my marks on the exam,0
I was dumbstruck to realize I had done so well,0
I couldn't believe I had done so well on the exam,0
I was overjoyed to get a perfect score on the test,0
My mouth dropped open when I saw my grade,0
I was elated to find out I had aced the exam,0
I aced the exam with flying colors,0
The scores I got were far beyond my expectations,0
I was overjoyed when I saw my exam results,0
My performance on the exam surpassed all my expectations,0
I was absolutely stunned by my exam results,0
I got higher marks than I thought I would,0
My results were significantly better than I expected,0
I was shocked to see how well I had done on the exam,0
I was pleasantly surprised when I saw my exam grade,0
My score on the exam was far above what I expected,0
My efforts were rewarded with an unexpected high grade,0
The outcome of the exam was better than I had hoped for,0
I was astonished at the grade I received on the exam,0
I was taken aback by the success I had on the exam,0
My performance on the exam was far better than anticipated,0
I was bowled over by the results of the exam,0
My exam results were much better than I had imagined,0
I was amazed by my exam results,0
My exam scores exceeded my expectations,0
I was pleasantly surprised by my grade,0
My results on the exam were far better than expected,0
I was delighted to see my exam scores,0
I received higher marks than I had anticipated,0
The grade I achieved on the exam was higher than expected,0
I was astounded by how well I had done on the exam,0
I was overwhelmed by my success on the exam,0
My score was much higher than I had predicted,0
The results of the exam came as a pleasant surprise,0
I was flabbergasted by the outcome of the exam,0
I was thrilled to see my marks on the exam,0
My exam scores were far better than I had anticipated,0
I was astonished at the success I had on the exam,0
I was amazed at the grade I got on the exam,0
I worked so hard for this exam yet I still failed,2
I can't believe I didn't pass it feels like all my hard work was for nothing,2
My grades aren't good enough for my parents I feel like a failure,2
My friends all passed but I didn't I feel so embarrassed,2
I don't know why I didn't do better I put so much effort into it,2
I can't believe I'm not graduating on time because of this exam,2
No matter how hard I tried I couldn't get the results I wanted,2
My dreams of going to college are now slipping away,2
I was so sure I'd pass but it wasn't meant to be,2
I guess my hard work wasn't enough to get me through this exam,2
It's like all my studying was for nothing I'm so disappointed,2
I just don't understand why I didn't do better it's so frustrating,2
I feel like I let everyone down including myself,2
My dream of going to a good college is fading away,2
I was so sure I was going to ace this exam but I didn't,2
It feels like all my effort was wasted on this exam,2
I can't believe I failed I was so sure I'd get a good grade,2
I feel like a complete failure I can't believe I didn't pass,2
I'm so disappointed in myself for not doing better on this exam,2
No matter how hard I tried I couldn't get the results I wanted,2
My confidence is shattered after failing this exam,2
My friends all did better than me I feel so embarrassed,2
I can't believe I didn't get the grade I was expecting,2
I'm so disappointed that I couldn't even pass this exam,2
It feels like all my hard work was for nothing I'm crushed,2
I'm so ashamed that I couldn't do better on this exam,2
It's like my studying was in vain I failed this exam,2
I feel like I've let everyone down including myself,2
My dream of going to a good college is slipping away,2
I can't believe I failed I had worked so hard for this,2
It's so frustrating to know I didn't get the results I wanted,2
I'm so disappointed that I can't even get through this exam,2
No matter how hard I tried I couldn't get the grade I wanted,2
I guess my hard work wasn't enough to get me through this exam,2
My confidence is shattered after failing this exam,2
My friends all passed but I didn't I feel so embarrassed,2
I can't believe I didn't get the grade I was expecting,2
I'm so disappointed that I couldn't even pass this exam,2
It feels like all my hard work was for nothing I'm crushed,2
I'm so ashamed that I couldn't do better on this exam,2
It's like my studying was in vain I failed this exam,2
I feel like I've let everyone down including myself,2
My dream of going to a good college is fading away,2
I can't believe I failed I had worked so hard for this,2
It's so frustrating to know I didn't get the results I wanted,2
I'm so disappointed that I can't even get through this exam,2
No matter how hard I tried I couldn't get the grade I wanted,2
I guess my hard work wasn't enough to get me through this exam,2
My parents won't be happy with my results I'm so ashamed,2
My friends all did better than me I feel so embarrassed,2
I can't believe I didn't get the grade I was expecting,2
I'm so disappointed that I couldn't even pass this exam,2
I'm so ashamed that I couldn't do better on this exam,2
It's like my studying was in vain I failed this exam,2
I feel like I've let everyone down including myself,2
I can't believe I failed again,2
It's like all my hard work was for nothing,2
My dreams of graduating have been crushed,2
I can't believe I let this happen,2
I'm so embarrassed to tell anyone,2
My friends will all be so disappointed in me,2
I can't believe I wasn't good enough,2
I thought I was prepared but I guess I wasn't,2
I'm so frustrated with myself for not doing better,2
I feel like I have let everyone down,2
I can't believe this is my reality,2
I don't know what I'm going to do,2
I'm not sure how I'm going to move on from this,2
My future feels so uncertain now,2
I don't know how I'm going to get past this,2
I feel like I have failed everyone who has helped me,2
I'm so upset that I couldn't do better,2
I feel like I have let myself down,2
I'm so disappointed in how I performed,2
I can't believe I didn't do better,2
My heart is breaking over this result,2
I feel like I have let my family down,2
I don't know why I couldn't do better,2
I can't believe this is happening to me,2
I'm defeated and discouraged,2
I'm so ashamed of my performance,2
This isn't the outcome I expected,2
My confidence is completely shattered,2
I'm so disheartened by my results,2
I'm so sad and dejected right now,2
I don't know how I'm going to keep going,2
My dreams of success feel so distant now,2
I'm so embarrassed of my failure,2
I feel like I have let everyone down,2
I can't believe I couldn't do better,2
My heart is aching right now,2
I'm so disheartened by this result,2
I don't know how I'm going to get past this,2
My future feels so uncertain now,2
I'm so upset that I couldn't do better,2
I'm so discouraged and defeated,2
I can't believe I failed this exam,2
I'm so embarrassed about my performance,2
My dreams of success have been shattered,2
I can't believe I let this happen,2
I feel like I have let my family down,2
I'm so disappointed in myself,2
I'm so frustrated with my results,2
I'm so ashamed of this outcome,2
I can't believe I was so unprepared,2
My confidence has taken a huge hit,2
My heart is broken over this,2
I can't believe I got an F on the exam,2
I put in so much effort and still didn't pass,2
My parents are going to be so disappointed in me,2
I feel like a complete failure,2
I can't believe I let myself down like this,2
,2
I worked so hard and still didn't get the grade I wanted,2
My hard work wasn't enough to get me a good mark,2
I feel like all my studying was for nothing,2
I'm so embarrassed that I failed the exam,2
I can't believe I didn't do better on the exam,2
I feel like such a disappointment,2
My poor performance has me feeling so hopeless,2
I can't believe all my efforts were in vain,2
I feel like I let myself down by not doing better,2
I'm so ashamed that I couldn't get the grade I wanted,2
,2
My efforts weren't enough to pass the exam,2
I feel like I failed myself by not passing,2
I'm so discouraged by my poor performance,2
I'm so disheartened that I didn't do better,2
My failure on the exam has left me feeling so down,2
I'm so dejected that I didn't pass the exam,2
I can't believe I failed despite all my hard work,2
I'm so sad that I wasn't able to do better,2
I feel like I let myself and my family down,2
I'm so embarrassed that I couldn't pass the exam,2
I'm so frustrated that I couldn't get the grade I wanted,2
I feel like my hard work was for nothing,2
I can't believe I didn't do better on the exam,2
I'm so disheartened by my poor performance,2
I feel like such a failure for not being able to pass,2
I'm so disappointed by how I did on the exam,2
I'm so discouraged that I wasn't able to do better,2
My poor results have me feeling so defeated,2
I'm so embarrassed that I couldn't pass the exam,2
I'm so upset that I couldn't get the grade I wanted,2
I feel so hopeless about my exam results,2
I'm so dejected that I didn't get the score I was hoping for,2
I'm so dispirited by my results,2
I'm so demoralized by my failure,2
I'm so crushed that I couldn't do better,2
I'm so discouraged by my results,2
I'm so let down that I couldn't get the grade I wanted,2
I'm so gutted that I didn't get the score I needed,2
I'm so crestfallen that I didn't pass the exam,2
I'm so ashamed of my poor performance,2
I achieved top marks in my exam,1
I received an outstanding grade on my test,1
I successfully completed my course,1
I passed my final year exams,1
My hard work paid off on the exam,1
I'm proud of my exam results,1
I'm celebrating my exam success,1
I'm overjoyed with my exam performance,1
I'm relieved to have finished my exams,1
I'm encouraged by my exam results,1
I'm delighted with my exam results,1
I'm feeling proud of my exam success,1
