Text,Emotion
I'm so cross I got a poor grade on the quiz,Anger
I'm so upset I couldn't do better on the exam,Anger
I'm so mad I didn't get the marks I was hoping for,Anger
I'm so furious I couldn't ace the test,Anger
I'm so irate I got a lower grade than I wanted,Anger
I'm so annoyed I couldn't get the highest marks,Anger
I'm so indignant about my exam results,Anger
I'm so aggravated I couldn't get a good grade,Anger
I'm so perturbed I didn't do well on the paper,Anger
I'm so cross I didn't get the grade I wanted,Anger
I'm so upset I got a bad score on the quiz,Anger
I'm so mad I failed the test.,Anger
I'm so furious I couldn't get the grade I was expecting,Anger
I'm so irate I didn't do well on the paper,Anger
I'm so annoyed I didn't get the marks I was aiming for,Anger
I'm so indignant about my grade on the exam,Anger
I'm so aggravated I couldn't get the grade I was hoping for,Anger
I'm so perturbed I got a lower score than anticipated,Anger
I'm so cross I couldn't pass the quiz,Anger
I'm so enraged I couldn't do better on the test,Anger
I'm so enraged I didn't do better on the test,Anger
I'm so upset I didn't get the marks I was expecting,Anger
I'm so boiling mad I got a lower grade than I wanted,Anger
I'm so resentful I couldn't get the grade I was aiming for,Anger
I'm so mad I couldn't pass the quiz,Anger
I'm so angry I got a bad grade on the paper,Anger
I'm so livid I couldn't get a good mark,Anger
I'm so frustrated I couldn't get the grade I was hoping for,Anger
I'm so irritated I got a lower score than I was expecting,Anger
I'm so incensed I didn't do well on the exam,Anger
I'm so vexed I couldn't get the highest marks,Anger
I'm so infuriated I got a lower grade than anticipated,Anger
I'm so displeased I didn't get the grade I wanted,Anger
I'm so mad I couldn't get a good score,Anger
I'm so furious my grade was lower than expected,Anger
I'm so irate I didn't do well on the test,Anger
I'm so annoyed I didn't get the results I wanted,Anger
I'm so indignant about my grade on the paper,Anger
I'm so aggravated I didn't get the marks I was aiming for,Anger
I'm so perturbed I got a lower score than I was expecting,Anger
I'm so mad I didn't pass the test,Anger
I'm so angry I failed my midterms,Anger
I'm so livid I got a poor grade on my assignment,Anger
I'm so frustrated with my exam results,Anger
I'm so irritated I didn't get a good grade,Anger
I'm so incensed I couldn't ace the quiz,Anger
I'm so vexed I didn't do well on the test,Anger
I'm so infuriated my grade was lower than expected,Anger
I'm so displeased I got a bad grade,Anger
I'm so mad I failed the exam,Anger
